"cities"	"ALASKA.delayed"	"AM_WEST.delayed"
"1"	"Los.Angeles"	0.110912343470483	0.144266337854501
"2"	"Phoenix"	0.0515021459227468	0.0789724072312084
"3"	"San.Diego"	0.0862068965517241	0.145089285714286
"4"	"San.Francisco"	0.168595041322314	0.287305122494432
"5"	"Seattle"	0.142124883504194	0.232824427480916
